
Found 9 files in total.
=========================================================================================================

FILE: 000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau.json
Total chunks: 46
CHUNK ID                                           | TYPE                 | STRATEGY             | LENGTH
---------------------------------------------------------------------------------------------------------
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_01 | cover                | non-chapter          | 106
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_02 | title                | non-chapter          | 400
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_03 | imprint              | non-chapter          | 5559
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_04 | toc                  | non-chapter          | 2730
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_05_01 | unkown               | non-chapter          | 314
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_05_02 | chapter              | explicit_chapter     | 21268
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_05_03 | chapter              | explicit_chapter     | 52496
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_05_04 | chapter              | explicit_chapter     | 22979
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_05_05 | chapter              | explicit_chapter     | 50981
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_05_06 | chapter              | explicit_chapter     | 22026
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_05_07 | chapter              | explicit_chapter     | 32662
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_05_08 | chapter              | explicit_chapter     | 22739
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_05_09 | chapter              | explicit_chapter     | 38467
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_05_10 | chapter              | explicit_chapter     | 28081
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_05_11 | chapter              | explicit_chapter     | 40921
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_05_12 | chapter              | explicit_chapter     | 30569
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_05_13 | chapter              | explicit_chapter     | 29744
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_05_14 | chapter              | explicit_chapter     | 23103
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_05_15 | chapter              | explicit_chapter     | 25743
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_05_16 | epilogue             | non-chapter          | 4257
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_06_01 | unkown               | non-chapter          | 329
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_06_02 | chapter              | explicit_chapter     | 41362
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_06_03 | chapter              | explicit_chapter     | 52491
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_06_04 | chapter              | explicit_chapter     | 40859
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_06_05 | chapter              | explicit_chapter     | 49392
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_06_06 | chapter              | explicit_chapter     | 14692
