filename	explicit_chapter	implicit_chapter_stars	implicit_chapter_jpg	novel_no_separator	non-chapter	total_chunks
000001_03_-_Bomben_fur_Dortmund_-_Peter_Hebel.json	0	0	0	1	11	12
000002_2012_-_Folge_06_-_Manfred_Weinland.json	10	0	7	0	7	24
000003_Adams_Julia-Extra-Band-379_9783733703967.json	50	0	0	0	9	59
000004_Alaska_in_Love_-_Familiengeheimnisse,_Riva_-_Catherine_Mann.json	92	0	0	0	33	125
000005_Alexi_Fuersten-Roman-2581_9783732583782.json	0	0	15	0	6	21
000006_Alexi_Fuersten-Roman-2611_9783751700221.json	0	0	20	0	6	26
000007_Alexi_Fuersten-Roman-2637_9783751720106.json	0	0	18	0	6	24
000008_Altom_Bianca-Extra-Band-17_9783733732462.json	41	0	0	0	9	50
000009_Anderson_Im-Liebesbann-des-Tycoons_9783733737634.json	71	0	0	0	25	96
000010_Anderson_Julia-Aerzte-zum-Verlieben-Band_9783751501552.json	31	0	0	0	10	41
000011_Anruf_aus_dem_Jenseits.json	0	32	0	0	10	42
000012_BACCARA_SPEZIAL_BAND_4_-_Cynthia_Eden,_Lena_Diaz,_Carla_Cassidy.json	51	0	0	0	8	59
000013_Bad_Earth_-_Folge_43_-_Alfred_Bekker.json	0	25	0	0	9	34
000014_Baine_Julia-Aerzte-zum-Verlieben-Band_9783751501576.json	32	0	0	0	10	42
000015_Ball_10-DR.-MORTON-Storys-Box-1_9783864735455.json	18	0	0	0	17	35
000016_Beckett_Julia-Aerzte-zum-Verlieben-Band_9783733715601.json	38	0	0	0	10	48
000017_Bekker_Bad-Earth-43---Science-Fiction_9783732548767.json	0	25	0	0	9	34
000018_Bennett_Collection-Baccara-Band-365_9783733723279.json	32	0	0	0	9	41
000019_Berlin_Julia-Aerzte-zum-Verlieben-Band_9783733715625.json	38	0	0	0	9	47
000020_Birkmoser_Alpengold-262_9783732559831.json	0	28	0	0	6	34
000021_Birkmoser_Alpengold-350_9783751710510.json	0	35	0	0	6	41
000022_Bissell_Die-schoensten-Liebesromane-der_9783751505475.json	135	0	0	0	37	172
000023_Blake_Der-Reiz-des-Fremden---Blind-D_9783733736323.json	64	0	0	0	23	87
000024_Blake_The-Wedding-Party-Collection--_9783733716646.json	72	0	0	0	24	96
000025_Braut_nur_nach_Freigabe!_-_5-teilige_Serie_-_Caitlin_Crews,_Abby_Green,_Melanie_Milburn.json	59	0	0	0	21	80
000026_Browning_Traummaenner-_-Traumziele_-Ital_9783733787103.json	45	0	0	0	18	63
000027_Burger_Alpengold-256_9783732554836.json	0	34	0	0	6	40
000028_Burger_Alpengold-333_9783751702645.json	0	26	0	0	6	32
000029_Burns_Tiffany-Extra-Hot-_-Sexy-Band-_9783733753832.json	56	0	0	0	9	65
000030_Butler_Parker_-_206_-_Parker_zahmt_den_Blu_-_Donges,_Gunter.json	0	31	0	0	9	40
000031_Butler_Parker_-_Paket_1_-_E-Book_1-50_-_Donges,_Gunter.json	0	542	0	0	104	646
000032_Butler_Parker_Kelter_1-50.json	0	542	0	0	104	646
000033_COLLECTION_BACCARA_BAND_350_-_Wendy_Etherington,_Ann_Major,_Kathryn_Jens.json	40	0	0	0	10	50
000034_COLLECTION_BACCARA_BAND_351_-_Kathie_DeNosky,_Janice_Maynard,_Maureen_Ch.json	30	0	0	0	10	40
000035_COLLECTION_BACCARA_BAND_353_-_Nancy_Robards_Thompson,_Dara_Girard,_Yvonn.json	35	0	0	0	8	43
000036_COLLECTION_BACCARA_BAND_354_-_Paula_Roe,_A.C.Arthur,_Kathie_DeNosky.json	32	0	0	0	8	40
000037_COLLECTION_BACCARA_BAND_355_-_Kristi_Gold,_Allison_Leigh,_Robyn_Grady.json	32	0	0	0	10	42
000038_COLLECTION_BACCARA_BAND_356_-_Kayla_Perrin,_Sarah_M._Anderson,_Barbara_D.json	32	0	0	0	10	42
000039_COLLECTION_BACCARA_BAND_357_-_Cat_Schield,_Farrah_Rochon,_Charlene_Sands.json	31	0	0	0	8	39
000040_COLLECTION_BACCARA_BAND_358_-_Cat_Schield,_Barbara_Dunlop,_Harmony_Evans.json	35	0	0	0	8	43
000041_COLLECTION_BACCARA_BAND_359_-_Cat_Schield,_Jennifer_LaBrecque,_Debbi_Raw.json	33	0	0	0	9	42
000042_COLLECTION_BACCARA_BAND_360_-_Barbara_Dunlop,_Yahrah_St._John,_Brenda_Ha.json	38	0	0	0	9	47
000043_COLLECTION_BACCARA_BAND_361_-_Jennifer_LaBrecque,_Kayla_Perrin,_Andrea_L.json	36	0	0	0	9	45
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau.json	37	0	0	0	9	46
000045_COLLECTION_BACCARA_BAND_363_-_Brenda_Jackson,_Leanne_Banks,_Andrea_Laure.json	36	0	0	0	9	45
000046_COLLECTION_BACCARA_BAND_364_-_Kathryn_Jensen,_Dara_Girard,_Andrea_Lauren.json	32	0	0	0	8	40
000047_COLLECTION_BACCARA_BAND_365_-_Silver_James,_Kimberly_Kaye_Terry,_Jules_B.json	32	0	0	0	9	41
000048_COLLECTION_BACCARA_BAND_366_-_Lauren_Canan,_Elaine_Overton,_Michelle_Cel.json	39	0	0	0	7	46
000049_COLLECTION_BACCARA_BAND_367_-_Emily_McKay,_Nicki_Night,_Christine_Rimmer.json	39	0	0	0	9	48
000050_Carlisle_Julia-Aerzte-zum-Verlieben-Band_9783751501583.json	35	0	0	0	8	43
000051_Carlisle_Julia-Aerzte-zum-Verlieben-Band_9783751501644.json	32	0	0	0	11	43
000052_Carson_Dorian-Hunter-36---Horror-Seri_9783732591916.json	5	0	0	0	9	14
000053_Carson_Dorian-Hunter-42---Horror-Seri_9783732597949.json	5	0	0	0	9	14
000054_Carson_Dorian-Hunter-50---Horror-Seri_9783732598946.json	5	0	0	0	9	14
000055_Cassidy_Baccara-Spezial-Band-4_9783733729257.json	51	0	0	0	8	59
000056_Cassidy_Baccara-Spezial-Band-8_9783733729295.json	43	0	0	0	7	50
000057_Celmer_Collection-Baccara-Band-366_9783733723286.json	39	0	0	0	7	46
000058_Celmer_Koenigliche-Verfuehrungen---Mach_9783733738938.json	106	0	0	0	28	134
000059_Child_Collection-Baccara-Band-350_9783733722487.json	40	0	0	0	10	50
000060_Child_Collection-Baccara-Band-351_9783733722500.json	30	0	0	0	10	40
000061_Child_Manhattan-Millionaires---Skand_9783733716677.json	70	0	0	0	23	93
000062_Child_Tiffany-Extra-Hot-_-Sexy-Band-_9783733753887.json	43	0	0	0	9	52
000063_Claydon_Julia-Aerzte-zum-Verlieben-Band_9783733715632.json	34	0	0	0	10	44
000064_Claydon_Julia-Aerzte-zum-Verlieben-Band_9783751501569.json	33	0	0	0	10	43
000065_Claydon_Julia-Aerzte-zum-Verlieben-Band_9783751501613.json	35	0	0	0	10	45
000066_Colley_Im-Bann-der-Diamanten---Zwei-F_9783733727314.json	65	0	0	0	20	85
000067_Colter_Hochzeit-mit-dem-Boss_9783733727338.json	43	0	0	0	18	61
000068_Cotton_Jerry-Cotton-1---Krimi-Serie_9783732574506.json	0	19	0	0	5	24
000069_Cotton_Jerry-Cotton-3288---Krimi-Seri_9783732596546.json	0	0	7	0	6	13
000070_Courths-Mahler_Hedwig-Courths-Mahler---Folge-_9783732502929.json	0	16	0	0	6	22
000071_Courths-Mahler_Hedwig-Courths-Mahler-Grossband_9783732557202.json	0	231	0	0	45	276
000072_Courths-Mahler_Hedwig-Courths-Mahler-Grossband_9783732557226.json	0	248	0	0	45	293
000073_Courths-Mahler_Hedwig-Courths-Mahler-Grossband_9783732557233.json	0	203	0	1	42	246
000074_Courths-Mahler_Hedwig-Courths-Mahler-Grossband_9783732557240.json	0	221	0	0	45	266
000075_Courths-Mahler_Hedwig-Courths-Mahler-Grossband_9783732557257.json	0	263	0	0	45	308
000076_Crews_Braut-nur-nach-Freigabe_---5-t_9783733738167.json	59	0	0	0	21	80
000077_Crouch_Baccara-Spezial-Band-7_9783733729288.json	72	0	0	0	8	80
000078_Dan_Shocker's_Macabros_1_-_Dan_Shocker.json	0	44	0	0	4	48
000079_Darcy_Julia-Extra-Band-382_9783733704049.json	50	0	0	0	10	60
000080_Das_Haus_Zamis_0003_-_Ernst_Vlcek.json	5	0	0	0	9	14
000081_Das_Herz_des_griechischen_Milliardars_-_Emilie_Rose,_Rebecca_Winters,_Sharon_Kendr.json	42	0	0	0	16	58
000082_Das_McNeill_Imperium_-_Eine_machtige_Famil_-_Joanne_Rock.json	120	0	0	0	34	154
000083_Das_Horror-Schloß_im_Spessart.json	0	28	0	0	10	38
000084_Davenport_Das-Haus-Zamis-12_9783751714662.json	4	0	0	0	9	13
000085_Davenport_Das-Haus-Zamis-13_9783751714679.json	4	0	0	0	9	13
000086_Davenport_Das-Haus-Zamis-14_9783751714686.json	4	0	0	0	9	13
000087_Davenport_Das-Haus-Zamis-15_9783751714693.json	4	0	0	0	9	13
000088_Davenport_Das-Haus-Zamis-4_9783751705288.json	5	0	0	0	9	14
000089_Davenport_Das-Haus-Zamis-5_9783751705295.json	5	0	0	0	9	14
000090_Davenport_Das-Haus-Zamis-7_9783751708692.json	5	0	0	0	9	14
000091_Davenport_Das-Haus-Zamis-8_9783751709415.json	5	0	0	0	9	14
000092_Davenport_Dorian-Hunter-12---Horror-Seri_9783732576685.json	4	0	0	0	9	13
000093_Davenport_Dorian-Hunter-13---Horror-Seri_9783732576692.json	5	0	0	0	9	14
000094_Davenport_Dorian-Hunter-14---Horror-Seri_9783732577620.json	5	0	0	0	9	14
000095_Davenport_Dorian-Hunter-17---Horror-Seri_9783732579693.json	5	0	0	0	9	14
000096_Davenport_Dorian-Hunter-18---Horror-Seri_9783732580590.json	5	0	0	0	9	14
000097_Davenport_Dorian-Hunter-2---Horror-Serie_9783732569830.json	5	0	0	0	8	13
000098_Davenport_Dorian-Hunter-21---Horror-Seri_9783732581849.json	4	0	0	0	9	13
000099_Davenport_Dorian-Hunter-23---Horror-Seri_9783732583096.json	5	0	0	0	9	14
000100_Davenport_Dorian-Hunter-29---Horror-Seri_9783732587193.json	5	0	0	0	9	14
000101_Davenport_Dorian-Hunter-31---Horror-Seri_9783732588657.json	5	0	0	0	9	14
000102_Davenport_Dorian-Hunter-32---Horror-Seri_9783732590193.json	5	0	0	0	9	14
000103_Davenport_Dorian-Hunter-35---Horror-Seri_9783732590964.json	5	0	0	0	9	14
000104_Davenport_Dorian-Hunter-37---Horror-Seri_9783732591923.json	4	0	0	0	9	13
000105_Davenport_Dorian-Hunter-39---Horror-Seri_9783732591947.json	5	0	0	0	9	14
000106_Davenport_Dorian-Hunter-4---Horror-Serie_9783732571802.json	4	0	0	1	8	13
000107_Davenport_Dorian-Hunter-44---Horror-Seri_9783732597963.json	4	0	0	0	9	13
000108_Davenport_Dorian-Hunter-47---Horror-Seri_9783732597994.json	4	0	0	0	9	13
000109_Davenport_Dorian-Hunter-7---Horror-Serie_9783732574056.json	5	0	0	0	9	14
000110_Davenport_Dorian-Hunter-9---Horror-Serie_9783732575008.json	5	0	0	0	9	14
000111_Der_Bergpfarrer_-_Paket_1_-_E-Book_1-50_-_Waidacher,_Toni.json	0	0	0	0	116	116
000112_Der_Hexer_01_-_Wolfgang_Hohlbein.json	1	0	0	0	13	14
000113_Der_Reiz_des_Fremden_-_Blind_Dates_mit_Fol_-_Ally_Blake,_Bonnie_Gardner,_Raye_Morgan,_L.json	64	0	0	0	23	87
000114_Der_kleine_Furst_-_Paket_1_-_E-Book_1-50_-_Maybach,_Viola.json	0	0	0	0	116	116
000115_Der_kleine_Fürst_Paket_1.json	0	0	0	0	116	116
000116_Der_schone_Fremde_in_meinem_Bett_-_Mollie_Molay.json	33	0	0	0	9	42
000117_Der_unheimliche_Mönch.json	0	32	0	0	10	42
000118_Deutsche_Balladen_(German_Editi_-_Avenarius,_Ferdinand.json	0	0	0	0	142	142
000119_Diaz_Baccara-Spezial-Band-14_9783751500814.json	65	0	0	0	8	73
000120_Die_Abrechnung_-_von_Frank_Callahan.json	0	0	32	0	5	37
000121_Die_Mafia_ladt_zum_Sterben_ein__-_Cotton,_Jerry.json	11	0	0	0	7	18
