ID	Title	Number of novels	Author	Date	Publisher	Series
1176636995	... und schon gehört mein Herz nur dir : Digital Edition	1			CORA Verlag	?
1046128876	... Wie Gespenster in der Nacht	1			MIRA Taschenbuch	?
1140238655	(K)ein Kuss ist auch (k)eine Lösung	1			MIRA Taschenbuch	?
1176808532	(K)eine ganz normale Familie	1			CORA Verlag	?
1176510290	(Kein) Sex mit dem Ex?	1			CORA Verlag	?
1176877879	100 Rosen und ein Kuss	1			CORA Verlag	?
1046143794	1000 Wünsche hast du frei : Wo Träume wahr werden	1			MIRA Taschenbuch	?
1176646400	1001 sinnliche Tage und Nächte?	1			CORA Verlag	?
1176515837	1001 Wüstennacht - Prinz meines Herzens : eBundle	1			CORA Verlag	?
1167519108	2B Trilogy - Die Liebe hat ihren eigenen Plan	1			MIRA Taschenbuch	?
1176648969	5 Dinge, die du niemals tun solltest! : eBundle	1			CORA Verlag	?
1046149202	72 Stunden	1			MIRA Taschenbuch	?
116752005X	Ab durch die Mitte : Komödie	1			HarperCollins	?
1176625845	Ab heute nie mehr einsam	1			CORA Verlag	?
117542417X	Ab morgen für immer : Liebesroman	1			MIRA Taschenbuch	?
1046147927	Abbild des Todes	1			MIRA Taschenbuch	?
1089060025	Abbild des Todes	1			MIRA Taschenbuch	?
1176632841	Abenteuer auf Malta	1			CORA Verlag	?
1176877895	Abenteuer in Australien	1			CORA Verlag	?
1046139517	Abenteuer Liebe : Liebenächte in Mexiko/Gegen alle Regeln	1			MIRA Taschenbuch	?
1176875132	Abenteuer voller Lust und Zärtlichkeit	1			CORA Verlag	?
1176634100	Aber mit Gefühl ...	1			CORA Verlag	?
1177033992	Aber Monsieur!	1			CORA Verlag	?
1046146696	Abschied aus deinem Schatten	1			MIRA Taschenbuch	?
1078256004	Abschied für immer und nie	1			HarperCollins	?
1080367918	Abschied für immer und nie (XXL-Leseprobe)	1			HarperCollins	?
1176510894	Abschied für immer?	1			CORA Verlag	?
1102536180	Abschied von der Liebe	1			MIRA Taschenbuch	?
1176505009	Absender: dein Tod	1			CORA Verlag	?
1123285624	Acht Wochen und ein Leben lang : Liebesroman	1			MIRA Taschenbuch	?
117662590X	Achtung - sexy Boss!	1			CORA Verlag	?
1140239678	Achtung: Brandheiß und sexy!	1			MIRA Taschenbuch	?
1176637169	Adamas - ein Königreich für die Liebe (8-teilige Serie) : eBundle	8			CORA Verlag	?
117651041X	Adel verpflichtet - im Bann des Herzogs	1			CORA Verlag	?
1176519123	Adel verpflichtet - in den Armen des Grafen	1			CORA Verlag	?
1176808591	Adel, Liebe, Hoffnung - 4 royale Liebesromane	4			CORA Verlag	?
1129459101	Adele: ihre Songs, ihr Leben	1			HarperCollins	?
1177029723	Affäre mit einem Adonis : Digital Edition	1			CORA Verlag	?
1176516019	Affäre mit Hindernissen	1			CORA Verlag	?
1046124951	After Moonrise	1			MIRA Taschenbuch	?
1095886797	Afterburn - Ekstase/ Aftershock - Erlösung	1			MIRA Taschenbuch	?
1177029685	Agenten lieben besser : Digital Edition	1			CORA Verlag	?
1046131249	Ahnentanz	1			MIRA Taschenbuch	?
1178685950	Al Capone Doppelband 3 � Kriminalroman	1				?
1181329817	Al Capone Doppelband 4 � Kriminalroman	1				?
1182638414	Al Capone Doppelband 5 � Kriminalroman : Die Dillingers kommen - Der W�rger von Stickney	1				?
118626070X	Al Capone Doppelband 6 � Kriminalroman : Der S�urespritzer - Der K�nig der Unterwelt	1				?
1202114687	Al Capone Doppelband 7 � Kriminalroman : Al Capone	1				?
1190286319	Al Capone Doppleband 8 � Kriminalroman : Erdrosselt! - Glut im Blut	1				?
1046130609	Alarm auf Wolke sieben	1			MIRA Taschenbuch	?
1176875329	Alayna - schön und stolz	1			CORA Verlag	?
1099705363	Albert muss nach Hause : Die irgendwie wahre Geschichte eines Mannes, seiner Frau und ihres Alligators	1			HarperCollins	?
