ID	Title	Publisher	Series	Date	publisher_tier	book_type	series_size_category	sampling_strategy	temporal_position
1176500554	Berauscht von deinen heißen Küssen	CORA Verlag	Baccara		A	Series	Large	Temporal (Large Series)	first
1176626337	Mit jedem Kuss will ich dich mehr	CORA Verlag	Baccara		A	Series	Large	Temporal (Large Series)	quarter_1
1176802933	Wie Feuer und Eis	CORA Verlag	Baccara		A	Series	Large	Temporal (Large Series)	middle
1176962388	Küss mich, schöner Fremder!	CORA Verlag	Baccara		A	Series	Large	Temporal (Large Series)	quarter_3
1177381486	Ich kann dich einfach nicht vergessen	CORA Verlag	Baccara		A	Series	Large	Temporal (Large Series)	last
1169659144	Familie mit Herz 24 - Familienroman : Als Bianca nicht mehr sprechen wollte		Bianca		A	Series	Large	Temporal (Large Series)	first
1176623087	Zeit der Zärtlichkeit, Zeit der Liebe	CORA Verlag	Bianca		A	Series	Large	Temporal (Large Series)	quarter_1
1176798243	Starke Männer lieben zärtlich	CORA Verlag	Bianca		A	Series	Large	Temporal (Large Series)	middle
1176954849	Ein Kuss ist lange nicht genug	CORA Verlag	Bianca		A	Series	Large	Temporal (Large Series)	quarter_3
1177381575	Überraschung für Dr. Westerling	CORA Verlag	Bianca		A	Series	Large	Temporal (Large Series)	last
1176503251	Historical Exklusiv Band 44	CORA Verlag	Historical		A	Series	Medium	Temporal (Medium Series)	first
1176625098	Historical Lords & Ladies Band 48	CORA Verlag	Historical		A	Series	Medium	Temporal (Medium Series)	quarter_1
1176801198	Historical Weihnachten Band 11	CORA Verlag	Historical		A	Series	Medium	Temporal (Medium Series)	middle
1176958887	Historical MyLady Band 565	CORA Verlag	Historical		A	Series	Medium	Temporal (Medium Series)	quarter_3
1177129396	Zärtliche Barbaren: Wikinger und Highlander - Best of Historical 2017	CORA Verlag	Historical		A	Series	Medium	Temporal (Medium Series)	last
1159706425	Toni der H�ttenwirt 196 � Heimatroman : Julia will was erleben		Julia		A	Series	Large	Temporal (Large Series)	first
117662881X	Traumtage der Leidenschaft	CORA Verlag	Julia		A	Series	Large	Temporal (Large Series)	quarter_1
1176802917	Wie zähmt man einen Herzensbrecher?	CORA Verlag	Julia		A	Series	Large	Temporal (Large Series)	middle
117696013X	Julia Collection Band 62	CORA Verlag	Julia		A	Series	Large	Temporal (Large Series)	quarter_3
1220697605	F�rsten-Roman 2615 - Adelsroman : Prinzessin Julia und die Liebesfalle		Julia		A	Series	Large	Temporal (Large Series)	last
1176515357	Mystery Band 355	CORA Verlag	Mystery		A	Series	Small	Random (Small Series)	
1176657127	Mystery Band 371	CORA Verlag	Mystery		A	Series	Small	Random (Small Series)	
1176796801	Mystery Band 353	CORA Verlag	Mystery		A	Series	Small	Random (Small Series)	
1176808109	Mystery Collection Band 45	CORA Verlag	Mystery		A	Series	Small	Random (Small Series)	
1176808117	Mystery Thriller Band 226	CORA Verlag	Mystery		A	Series	Small	Random (Small Series)	
117694889X	Mystery Thriller Band 227	CORA Verlag	Mystery		A	Series	Small	Random (Small Series)	
1176502964	Geborgen in den Armen des Scheichs	CORA Verlag	Romana		A	Series	Large	Temporal (Large Series)	first
1176627872	Romana Extra Band 55	CORA Verlag	Romana		A	Series	Large	Temporal (Large Series)	quarter_1
1176806653	Romana Extra Band 67	CORA Verlag	Romana		A	Series	Large	Temporal (Large Series)	middle
1176963570	Brautschau auf Italienisch	CORA Verlag	Romana		A	Series	Large	Temporal (Large Series)	quarter_3
1177130963	Romana Extra Band 78	CORA Verlag	Romana		A	Series	Large	Temporal (Large Series)	last
1176501399	Cops lieben gefährlich	CORA Verlag	Tiffany		A	Series	Large	Temporal (Large Series)	first
1176634607	In der Hitze des Sommers	CORA Verlag	Tiffany		A	Series	Large	Temporal (Large Series)	quarter_1
117680460X	Mit jedem sinnlichen Kuss	CORA Verlag	Tiffany		A	Series	Large	Temporal (Large Series)	middle
1176963201	Bitte liebe mich	CORA Verlag	Tiffany		A	Series	Large	Temporal (Large Series)	quarter_3
1177130378	Tiffany Exklusiv Band 69	CORA Verlag	Tiffany		A	Series	Large	Temporal (Large Series)	last
1176616757	Traummänner & Traumziele: London	CORA Verlag	Traummänner & Traumziele		A	Series	Small	Random (Small Series)	
1176621181	Traummänner & Traumziele: Brasilien	CORA Verlag	Traummänner & Traumziele		A	Series	Small	Random (Small Series)	
1176628127	Traummänner & Traumziele: Mittelmeer : eBundle	CORA Verlag	Traummänner & Traumziele		A	Series	Small	Random (Small Series)	
1176800337	Traummänner & Traumziele: Karibik 2	CORA Verlag	Traummänner & Traumziele		A	Series	Small	Random (Small Series)	
1176808656	Traummänner & Traumziele: Argentinien	CORA Verlag	Traummänner & Traumziele		A	Series	Small	Random (Small Series)	
1176871404	Traummänner & Traumziele: Venedig : eBundle	CORA Verlag	Traummänner & Traumziele		A	Series	Small	Random (Small Series)	
1176877011	Traummänner & Traumziele: Toskana : eBundle	CORA Verlag	Traummänner & Traumziele		A	Series	Small	Random (Small Series)	
1177029537	Traummänner & Traumziele: Bahamas : eBundle	CORA Verlag	Traummänner & Traumziele		A	Series	Small	Random (Small Series)	
1177030942	Traummänner & Traumziele: Hawaii : eBundle	CORA Verlag	Traummänner & Traumziele		A	Series	Small	Random (Small Series)	
1177034387	Traummänner & Traumziele: Italienische Inseln : eBundle	CORA Verlag	Traummänner & Traumziele		A	Series	Small	Random (Small Series)	
1177123037	Traummänner & Traumziele: Athen	CORA Verlag	Traummänner & Traumziele		A	Series	Small	Random (Small Series)	
1046125311	Sex oder Lüge	MIRA Taschenbuch	?		A	Standalone		Random (Standalone)	
1046126393	Mit ganzer Seele : Soul Screamers 1	MIRA Taschenbuch	?		A	Standalone		Random (Standalone)	
1046126539	Herr, erbarme dich!	MIRA Taschenbuch	?		A	Standalone		Random (Standalone)	
1046127144	Der Gute liegt so nah...	MIRA Taschenbuch	?		A	Standalone		Random (Standalone)	
1046128469	Tausche mich, nehme dich	MIRA Taschenbuch	?		A	Standalone		Random (Standalone)	
1046139290	Komm zurück zu mir	MIRA Taschenbuch	?		A	Standalone		Random (Standalone)	
104614037X	Kurzschluss! : Operation Heartbreaker	MIRA Taschenbuch	?		A	Standalone		Random (Standalone)	
1046144308	Eine außergewöhnliche Frau	MIRA Taschenbuch	?		A	Standalone		Random (Standalone)	
1046144766	Ein Kuss für jedes 'Ja	MIRA Taschenbuch	?		A	Standalone		Random (Standalone)	
