ID	Title	Number of novels	Author	Date	Publisher	Series
1151511099	Fiete - Die große Fahrt			2016.0	Bastei Entertainment	?
1165576856	Geisternächte			2018.0	Bastei Entertainment	?
1171810261	Das zweite Leben des Señor Castro			2018.0	Bastei Entertainment	?
1181793726	Wo der Tag beginnt			2019.0	Bastei Entertainment	?
1192759311	John Sinclair Großband 11 - Horror-Serie			2019.0	Bastei Entertainment	?
1201769612	G. F. Unger Western-Bestseller Sammelband 11			2020.0	Bastei Entertainment	?
1213734908	Die besten Ärzte 16 - Sammelband			2020.0	Bastei Entertainment	?
1291084258	Cherringham - Episode 37-39			2022.0	Bastei Entertainment	?
1310008655	Die Seidenvilla/Im Glanz der Seidenvilla/Das Vermächtnis der Seidenvilla			2023.0	Bastei Entertainment	?
1336813075	Dein Vater, mein Feind			2024.0	Bastei Entertainment	?
1216507465	Die Tote von Dresden			2020.0	Bastei Lübbe	?
1248529685	Silvia-Gold 152			2022.0	Bastei Lübbe	?
1258407086	Alpengold 376			2022.0	Bastei Lübbe	?
1277315620	Familie mit Herz 135			2022.0	Bastei Lübbe	?
1277702632	Der Bergdoktor 2161			2022.0	Bastei Lübbe	?
1287929869	Jerry Cotton Sonder-Edition 207			2023.0	Bastei Lübbe	?
1299994253	Jerry Cotton Sammelband 47			2023.0	Bastei Lübbe	?
1313283959	Das Berghotel 311			2023.0	Bastei Lübbe	?
1325206075	Jerry Cotton 3485			2024.0	Bastei Lübbe	?
1336813490	"40 Jahre ""Der Hexer"""			2024.0	Bastei Lübbe	?
1194764347	Im Bann des Puppenmachers			2019.0	Bastei Lübbe AG	?
1199229563	Das Erbe der Magie - Hidden Legacy - Nevada-Baylor-Serie, Teil 1 (Ungekürzt)			2019.0	Bastei Lübbe AG	?
120397406X	Für immer zuckerfrei - für Kids - Einfach, gesund und lecker			2020.0	Bastei Lübbe AG	?
1212301323	Die kleine Spinne Widerlich - 2 Geschichten - Ausflug ans Meer & Komm, wir spielen Schule			2020.0	Bastei Lübbe AG	?
1217545816	Im Glanz der Seidenvilla - Seidenvilla-Saga, Band 2 (Ungekürzt)			2020.0	Bastei Lübbe AG	?
122099989X	Beta Hearts			2020.0	Bastei Lübbe AG	?
122438783X	Hexenjäger - Jessica-Niemi-Reihe, Teil 1 (Gekürzt)			2020.0	Bastei Lübbe AG	?
1231778792	Die Toten können uns retten - Wie die Rechtsmedizin hilft, Krankheiten zu erforschen und das Sterben zu verhindern			2021.0	Bastei Lübbe AG	?
1237185793	Amber Eyes - Mit dir für immer			2021.0	Bastei Lübbe AG	?
124101003X	A Distant Voice - Mydworth Mysteries - A Cosy Historical Mystery Series, Episode 9 (Unabridged)			2021.0	Bastei Lübbe AG	?
1182994504	Ruperts Tagebuch - Zu nett für diese Welt!			2019.0	Baumhaus	?
1198869380	Gregs Tagebuch 14 - Voll daneben!			2019.0	Baumhaus	?
1208702432	Waldo Wunders fantastischer Spielzeugladen			2020.0	Baumhaus	?
1219076287	Waldo Wunders fantastischer Spielzeugladen - Wo Wünsche wahr werden			2020.0	Baumhaus	?
1221604570	Gregs Tagebuch 15 - Halt mal die Luft an!			2020.0	Baumhaus	?
1234460432	Strangeworlds - Die Reise ans Ende der Welt			2021.0	Baumhaus	?
1246754754	Fabula - Das Portal der dreizehn Reiche			2022.0	Baumhaus	?
1277316953	Die kleine Spinne Widerlich - Der Waldspaziergang			2022.0	Baumhaus	?
1303165430	Die kleine Spinne Widerlich - Abenteuer in den Bergen			2023.0	Baumhaus	?
1331171113	Luna und Sunny			2023.0	Baumhaus	?
1181793769	Cassandra Carpers fabelhaftes Café			2019.0	Boje	?
1188754459	Lea und die Pferde - Das Traumpferd fürs Leben			2019.0	Boje	?
120176808X	Hope			2020.0	Boje	?
1208702424	Irmelina Geisterkind - Das Geheimnis der Dorfeiche			2020.0	Boje	?
1214943438	Lea und die Pferde - Ein Joker für alle Fälle			2020.0	Boje	?
1219076546	Die Schule der kleinen Ponys - Wen hat hier der Hafer gestochen?			2020.0	Boje	?
122346010X	Durch die Nacht und alle Zeiten			2021.0	Boje	?
1228864012	Ellas federleicht-verhexte Zukunft			2021.0	Boje	?
1241549869	Bazilla - Ferien auf Burg Morchelfels			2021.0	Boje	?
1291087559	Schutzhof Schwalbennest			2022.0	Boje	?
1253079471	Join the Challenge… and Face the Chaos!			2022.0	CE Community Editions	?
127718304X	Einmal Ordnung, bitte!			2022.0	CE Community Editions	?
1277317402	Wie ich im Raumschiff ein Alien nach Hause brachte			2022.0	CE Community Editions	?
1282861182	Abenteuer vom Rosenhof. Im Zauberwald			2023.0	CE Community Editions	?
1285559363	Tasty but Make it Vegan			2023.0	CE Community Editions	?
1297396308	Scheiß-Angst			2023.0	CE Community Editions	?
1310007705	Wie ich an einem Tag 100 Euro verdiente			2023.0	CE Community Editions	?
1318625424	Lino – Das Rätsel des Ninja-Zaubers			2024.0	CE Community Editions	?
1328075680	Schnee in Portugal			2024.0	CE Community Editions	?
1336813512	Hope on Tour			2024.0	CE Community Editions	?
111671986X	Der Duft von Glück und Rosen	1.0			CORA Verlag	?
1176637797	Der Corretti Clan - Skandale und Liebe unter Siziliens Sonne : eBundle	1.0			CORA Verlag	?
1176877720	Süßes böses Mädchen	1.0			CORA Verlag	?
1177032279	Heiße Umarmung am Strand	1.0			CORA Verlag	?
1193259738	Made in Texas - Kinderwunsch im Lone Star State (4-teilige Serie)			2019.0	CORA Verlag	?
1214444385	Herzensüberraschung für Dr. Jenkins			2020.0	CORA Verlag	?
1232500135	Was in Las Vegas passiert… (3-teilige Serie)			2021.0	CORA Verlag	?
1259379736	Goldene Sonne über der Karibik			2022.0	CORA Verlag	?
1297398343	Milliardenschwer verliebt			2023.0	CORA Verlag	?
1345154933	Süßes Wiedersehen in London			2024.0	CORA Verlag	?
1176500554	Berauscht von deinen heißen Küssen	1.0			CORA Verlag	Baccara
1176802933	Wie Feuer und Eis	1.0			CORA Verlag	Baccara
1177381486	Ich kann dich einfach nicht vergessen	1.0			CORA Verlag	Baccara
1176500643	Bianca Exklusiv Band 243	3.0			CORA Verlag	Bianca
1176798324	Fremde Männer küsst man nicht!	1.0			CORA Verlag	Bianca
1177381575	Überraschung für Dr. Westerling	1.0			CORA Verlag	Bianca
1176503251	Historical Exklusiv Band 44	2.0			CORA Verlag	Historical
1176801198	Historical Weihnachten Band 11	3.0			CORA Verlag	Historical
1177129396	Zärtliche Barbaren: Wikinger und Highlander - Best of Historical 2017	1.0			CORA Verlag	Historical
1176500473	Als wäre es unsere letzte Nacht	1.0			CORA Verlag	Julia
1176802917	Wie zähmt man einen Herzensbrecher?	1.0			CORA Verlag	Julia
1177131129	Der unwiderstehliche Dr. North	1.0			CORA Verlag	Julia
1176620142	Bianca Exklusiv Band 0192 : Immer hab ich dich geliebt/ Jetzt weiß ich, was Liebe ist/ Küsse, Liebe, Kinderlachen /	3.0			CORA Verlag	Kinderlachen
1176515357	Mystery Band 355	1.0			CORA Verlag	Mystery
1176796801	Mystery Band 353	1.0			CORA Verlag	Mystery
1176963155	Mystery Band 356	1.0			CORA Verlag	Mystery
1176502964	Geborgen in den Armen des Scheichs	1.0			CORA Verlag	Romana
1176806653	Romana Extra Band 67	3.0			CORA Verlag	Romana
1177130963	Romana Extra Band 78	3.0			CORA Verlag	Romana
1176501399	Cops lieben gefährlich	1.0			CORA Verlag	Tiffany
117680460X	Mit jedem sinnlichen Kuss	1.0			CORA Verlag	Tiffany
1177130378	Tiffany Exklusiv Band 69	3.0			CORA Verlag	Tiffany
1176506978	Traummänner & Traumziele: Griechische Inseln : eBundle	1.0			CORA Verlag	Traummänner & Traumziele
1176879197	Traummänner & Traumziele: New York	1.0			CORA Verlag	Traummänner & Traumziele
1177123037	Traummänner & Traumziele: Athen	1.0			CORA Verlag	Traummänner & Traumziele
1175580333	Kann man mal machen			2018.0	Community Editions	?
1179187237	Mein Recht zu funkeln			2018.0	Community Editions	?
1187744069	You deserve this			2019.0	Community Editions	?
1197614729	Kennt man dich? Geschichten eines Influencers			2019.0	Community Editions	?
1204433267	Herz aus Stern			2020.0	Community Editions	?
1216507244	Sexy & Simple. Gute Hausmannskost, so einfach wie noch nie			2020.0	Community Editions	?
1236205030	Gewitter im Kopf - Leben mit Tourette			2021.0	Community Editions	?
1240682646	Hamburg			2021.0	Community Editions	?
1245864750	Wie ich zu jung für die Schule geworden bin - Ein Arazhul-Comic-Adventure			2021.0	Community Editions	?
1258408236	Dino Tino und das geheime Musikcamp			2022.0	Community Editions	?
1191484858	Agatha Merkwürdens Racheblumen			2019.0	Dragonfly	?
1195225326	Ein Himmel aus Gold			2019.0	Dragonfly	?
1201557399	Shadowscent - Die Blume der Finsternis			2019.0	Dragonfly	?
1207551147	Mias Pferdewelt - Glaub an deinen Traum!			2020.0	Dragonfly	?
1216335451	Blackcoat Rebellion - Das Schicksal der Zehn			2020.0	Dragonfly	?
1226430279	Dark Elements - Goldene Wut			2021.0	Dragonfly	?
1239910037	Lilo & Moder - Eine Freundin der gruseligen Art			2021.0	Dragonfly	?
125068868X	Ballet School - Der Tanz deines Lebens			2022.0	Dragonfly	?
1285559630	Die letzte Erzählerin			2023.0	Dragonfly	?
1322724520	Cato und die Dinge, die niemand sieht			2024.0	Dragonfly	?
1223176444	Die Unbezwingbare			2021.0	Ecco Verlag	?
1223176452	Iss das jetzt, wenn du mich liebst			2021.0	Ecco Verlag	?
122862996X	Alef			2021.0	Ecco Verlag	?
1228629986	Blond			2021.0	Ecco Verlag	?
1240788606	Ziemlich tote Dinge			2021.0	Ecco Verlag	?
1242664467	True Story			2021.0	Ecco Verlag	?
1246546655	Die Farbe Lila			2021.0	Ecco Verlag	?
1253019452	Die Welt vor den Fenstern			2022.0	Ecco Verlag	?
1256628433	Die Sekretärinnen			2022.0	Ecco Verlag	?
1259380114	Nachtschwärmerin			2022.0	Ecco Verlag	?
1186714891	Washington Black			2019.0	Eichborn	?
1206938331	Die verlorene Tochter der Sternbergs			2020.0	Eichborn	?
1217255494	Kein Netz!			2020.0	Eichborn	?
123179657X	Der langsame Tod der Luciana B			2021.0	Eichborn	?
1239655037	ZEIT Verbrechen 2			2021.0	Eichborn	?
1251319688	Das Verkehrte und das Richtige			2022.0	Eichborn	?
1287930646	So viele Paradiese			2023.0	Eichborn	?
1291088156	Bunny McGarry und der Mann mit dem Allerweltsgesicht			2023.0	Eichborn	?
131862648X	Rot			2024.0	Eichborn	?
1336811528	Relight My Fire			2024.0	Eichborn	?
1075913772	Am Ende das Leben	1.0			HarperCollins	?
1121919340	Welt ohne Morgen	1.0			HarperCollins	?
114024003X	Anstand : Roman	1.0			HarperCollins	?
1175210544	Das Gewicht eines Pianos : Roman	1.0			HarperCollins	?
118752817X	Kleopatra. Die Königin, die Rom herausforderte und ewigen Ruhm gewann			2019.0	HarperCollins	?
1205978852	Das Zimmer der verlorenen Träume			2020.0	HarperCollins	?
1219743674	Barrie - Wie ich eine Hündin rettete - und sie mich			2020.0	HarperCollins	?
123250016X	Die Ingenieurin von Brooklyn			2021.0	HarperCollins	?
1247846210	Bridgerton - Ein hinreißend verruchter Gentleman			2021.0	HarperCollins	?
129430917X	Wespen - eine Versöhnung			2023.0	HarperCollins	?
