Label,precision,recall,f1-score,support
author-information,1.0,1.0,1.0,1.0
chapter,0.9705882352941176,0.9850746268656716,0.9777777777777777,67.0
cover-image,1.0,0.75,0.8571428571428571,8.0
feedback,0.8888888888888888,1.0,0.9411764705882353,8.0
imprint,1.0,1.0,1.0,18.0
reader-information,0.9811320754716981,0.9454545454545454,0.9629629629629629,55.0
title-page,1.0,1.0,1.0,26.0
toc,1.0,1.0,1.0,17.0
unknown,0.0,0.0,0.0,0.0
accuracy,0.97,0.97,0.97,0.97
macro avg,0.8711787999616338,0.8533921302578018,0.859895563163537,200.0
weighted avg,0.9805139351338019,0.97,0.974303143479614,200.0
