Model,Type,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_F1,Samples
z-ai_glm-5,LLM,0.975,0.9895833333333333,0.9906716417910448,0.9897202561509942,0.9750589821368385,200
qwen_qwen3.5-397b-a17b,LLM,0.975,0.9895833333333333,0.9906716417910448,0.9897202561509942,0.9750589821368385,200
openai_gpt-oss-120b,LLM,0.98,0.9321428571428572,0.990909090909091,0.9508791259238856,0.9806202084194098,200
openai_gpt-oss-20b,LLM,0.94,0.9037871674491393,0.9714134745851164,0.9263762026549751,0.9403464864206552,200
mistralai_mistral-large-2512,LLM,0.955,0.8730885516599803,0.8688155956812673,0.8704728524872409,0.9569756502490315,200
meta-llama_llama-3.3-70b-instruct,LLM,0.9,0.9198774509803921,0.8642919580419581,0.8590898219505714,0.8920173266011162,200
deepseek_deepseek-v3.2-speciale,LLM,0.965,0.850352733686067,0.8664579201892635,0.856061498218361,0.9698610910375617,200
moonshotai_kimi-k2-0905,LLM,0.945,0.834392745147894,0.8568474643101509,0.8414224664224664,0.9483887362637361,200
inferred_type,LLM,0.725,0.761904761904762,0.7094941956882255,0.7292190380425674,0.7756150075414782,200
deepseek_deepseek-v3.2,LLM,0.83,0.7360171765968868,0.772076679539366,0.7219625862040723,0.8303554105852868,200
