Label,precision,recall,f1-score,support
author-information,1.0,1.0,1.0,1.0
chapter,1.0,0.9402985074626866,0.9692307692307692,67.0
cover-image,0.6666666666666666,1.0,0.8,8.0
feedback,1.0,1.0,1.0,8.0
imprint,1.0,1.0,1.0,18.0
reader-information,0.9298245614035088,0.9636363636363636,0.9464285714285714,55.0
title-page,0.9130434782608695,0.8076923076923077,0.8571428571428571,26.0
toc,1.0,1.0,1.0,17.0
unknown,0.0,0.0,0.0,0.0
accuracy,0.945,0.945,0.945,0.945
macro avg,0.834392745147894,0.8568474643101509,0.8414224664224664,200.0
weighted avg,0.9560640732265446,0.945,0.9483887362637361,200.0
