Model,Type,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_F1,Samples
z-ai_glm-5,LLM,1.0,1.0,1.0,1.0,1.0,133
qwen_qwen3.5-397b-a17b,LLM,1.0,1.0,1.0,1.0,1.0,133
deepseek_deepseek-v3.2-speciale,LLM,0.9624060150375939,0.8361111111111111,0.8534965034965035,0.8421947142771482,0.9696937522796016,133
moonshotai_kimi-k2-0905,LLM,0.9473684210526315,0.822463768115942,0.8464160839160839,0.8298280423280423,0.9523849305804194,133
openai_gpt-oss-120b,LLM,0.9699248120300752,0.8125,0.865909090909091,0.8286163522012578,0.9818886839740861,133
openai_gpt-oss-20b,LLM,0.9323308270676691,0.7986111111111112,0.8520104895104895,0.8137254901960784,0.957688338493292,133
mistralai_mistral-large-2512,LLM,0.9398496240601504,0.7735042735042735,0.7593628593628594,0.7659530329433242,0.9643769618220307,133
meta-llama_llama-3.3-70b-instruct,LLM,0.849624060150376,0.8082107843137254,0.7392919580419581,0.7411320754716981,0.8660008511845652,133
inferred_type,LLM,0.631578947368421,0.654320987654321,0.6083333333333333,0.6249455337690633,0.6935795370779891,133
deepseek_deepseek-v3.2,LLM,0.7744360902255639,0.6602809706257982,0.6675990675990676,0.6226667844314903,0.7868100298440855,133
