Label,precision,recall,f1-score,support
author-information,1.0,1.0,1.0,1.0
cover-image,0.8,1.0,0.8888888888888888,8.0
feedback,0.8888888888888888,1.0,0.9411764705882353,8.0
imprint,1.0,1.0,1.0,18.0
reader-information,1.0,0.9818181818181818,0.9908256880733946,55.0
title-page,1.0,0.8461538461538461,0.9166666666666666,26.0
toc,1.0,1.0,1.0,17.0
unknown,0.0,0.0,0.0,0.0
accuracy,0.9624060150375939,0.9624060150375939,0.9624060150375939,0.9624060150375939
macro avg,0.8361111111111111,0.8534965034965035,0.8421947142771482,133.0
weighted avg,0.9812865497076024,0.9624060150375939,0.9696937522796016,133.0
