Label,precision,recall,f1-score,support
author-information,0.5,1.0,0.6666666666666666,1.0
chapter,0.0,0.0,0.0,0.0
cover-image,0.8888888888888888,1.0,0.9411764705882353,8.0
feedback,1.0,1.0,1.0,8.0
imprint,1.0,1.0,1.0,18.0
reader-information,1.0,0.8545454545454545,0.9215686274509803,55.0
title-page,1.0,0.9615384615384616,0.9803921568627451,26.0
toc,1.0,1.0,1.0,17.0
accuracy,0.9323308270676691,0.9323308270676691,0.9323308270676691,0.9323308270676691
macro avg,0.7986111111111112,0.8520104895104895,0.8137254901960784,133.0
weighted avg,0.9895572263993316,0.9323308270676691,0.957688338493292,133.0
