Label,precision,recall,f1-score,support
author-information,1.0,1.0,1.0,1.0
chapter,1.0,0.9701492537313433,0.9848484848484849,67.0
cover-image,0.8,1.0,0.8888888888888888,8.0
feedback,0.8888888888888888,1.0,0.9411764705882353,8.0
imprint,1.0,1.0,1.0,18.0
reader-information,0.9642857142857143,0.9818181818181818,0.972972972972973,55.0
title-page,1.0,0.8461538461538461,0.9166666666666666,26.0
toc,1.0,1.0,1.0,17.0
unknown,0.0,0.0,0.0,0.0
accuracy,0.965,0.965,0.965,0.965
macro avg,0.850352733686067,0.8664579201892635,0.856061498218361,200.0
weighted avg,0.977734126984127,0.965,0.9698610910375617,200.0
