Label,precision,recall,f1-score,support
author-information,1.0,1.0,1.0,1.0
chapter,0.9166666666666666,0.9850746268656716,0.9496402877697842,67.0
cover-image,1.0,1.0,1.0,8.0
feedback,1.0,1.0,1.0,8.0
imprint,1.0,1.0,1.0,18.0
reader-information,0.9795918367346939,0.8727272727272727,0.9230769230769231,55.0
title-page,0.9615384615384616,0.9615384615384616,0.9615384615384616,26.0
toc,1.0,1.0,1.0,17.0
unknown,0.0,0.0,0.0,0.0
accuracy,0.955,0.955,0.955,0.955
macro avg,0.8730885516599803,0.8688155956812673,0.8704728524872409,200.0
weighted avg,0.9614710884353741,0.955,0.9569756502490315,200.0
