Label,precision,recall,f1-score,support
author-information,1.0,1.0,1.0,1.0
chapter,0.0,0.0,0.0,0.0
cover-image,0.8888888888888888,1.0,0.9411764705882353,8.0
feedback,1.0,0.875,0.9333333333333333,8.0
imprint,1.0,1.0,1.0,18.0
reader-information,1.0,0.6,0.75,55.0
title-page,0.0,0.0,0.0,26.0
toc,1.0,1.0,1.0,17.0
unknown,0.0,0.0,0.0,0.0
accuracy,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421
macro avg,0.654320987654321,0.6083333333333333,0.6249455337690633,133.0
weighted avg,0.797827903091061,0.631578947368421,0.6935795370779891,133.0
