Label,precision,recall,f1-score,support
author-information,1.0,1.0,1.0,1.0
cover-image,0.6666666666666666,1.0,0.8,8.0
feedback,1.0,1.0,1.0,8.0
imprint,1.0,1.0,1.0,18.0
reader-information,1.0,0.9636363636363636,0.9814814814814815,55.0
title-page,0.9130434782608695,0.8076923076923077,0.8571428571428571,26.0
toc,1.0,1.0,1.0,17.0
unknown,0.0,0.0,0.0,0.0
accuracy,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315
macro avg,0.822463768115942,0.8464160839160839,0.8298280423280423,133.0
weighted avg,0.962950855399368,0.9473684210526315,0.9523849305804194,133.0
