Label,precision,recall,f1-score,support
author-information,1.0,1.0,1.0,1.0
chapter,0.8933333333333333,1.0,0.9436619718309859,67.0
cover-image,0.6666666666666666,1.0,0.8,8.0
feedback,1.0,0.25,0.4,8.0
imprint,1.0,1.0,1.0,18.0
reader-information,0.8823529411764706,0.8181818181818182,0.8490566037735849,55.0
title-page,0.9166666666666666,0.8461538461538461,0.88,26.0
toc,1.0,1.0,1.0,17.0
accuracy,0.9,0.9,0.9,0.9
macro avg,0.9198774509803921,0.8642919580419581,0.8590898219505714,200.0
weighted avg,0.9077470588235295,0.9,0.8920173266011162,200.0
