Label,precision,recall,f1-score,support
author-information,1.0,1.0,1.0,1.0
chapter,0.0,0.0,0.0,0.0
cover-image,0.6666666666666666,1.0,0.8,8.0
feedback,1.0,0.25,0.4,8.0
imprint,1.0,1.0,1.0,18.0
reader-information,0.8823529411764706,0.8181818181818182,0.8490566037735849,55.0
title-page,0.9166666666666666,0.8461538461538461,0.88,26.0
toc,1.0,1.0,1.0,17.0
accuracy,0.849624060150376,0.849624060150376,0.849624060150376,0.849624060150376
macro avg,0.8082107843137254,0.7392919580419581,0.7411320754716981,133.0
weighted avg,0.9150081085065604,0.849624060150376,0.8660008511845652,133.0
