Label,precision,recall,f1-score,support
author-information,1.0,1.0,1.0,1.0
chapter,0.0,0.0,0.0,0.0
cover-image,1.0,1.0,1.0,8.0
feedback,1.0,1.0,1.0,8.0
imprint,1.0,1.0,1.0,18.0
reader-information,1.0,0.8727272727272727,0.9320388349514563,55.0
title-page,0.9615384615384616,0.9615384615384616,0.9615384615384616,26.0
toc,1.0,1.0,1.0,17.0
unknown,0.0,0.0,0.0,0.0
accuracy,0.9398496240601504,0.9398496240601504,0.9398496240601504,0.9398496240601504
macro avg,0.7735042735042735,0.7593628593628594,0.7659530329433242,133.0
weighted avg,0.9924812030075187,0.9398496240601504,0.9643769618220307,133.0
