,precision,recall,f1-score,support
advertisement,0.9523809523809523,0.625,0.7547169811320755,32.0
author_information,1.0,1.0,1.0,1.0
chapter,0.9,0.9402985074626866,0.9197080291970803,67.0
cover-image,0.5333333333333333,1.0,0.6956521739130435,8.0
feedback,1.0,1.0,1.0,8.0
imprint,1.0,1.0,1.0,18.0
introduction,0.75,0.5294117647058824,0.6206896551724138,17.0
reader-information,1.0,0.5,0.6666666666666666,2.0
reading-sample,0.16666666666666666,0.6,0.2608695652173913,5.0
title-page,0.9473684210526315,0.72,0.8181818181818182,25.0
toc,1.0,1.0,1.0,17.0
accuracy,0.83,0.83,0.83,0.83
macro avg,0.8408863066757803,0.810428206560779,0.7942258990436809,200.0
weighted avg,0.8915520050125313,0.83,0.8449027474781597,200.0
