,precision,recall,f1-score,support
advertisement,0.782608695652174,0.5625,0.6545454545454545,32.0
author_information,1.0,1.0,1.0,1.0
chapter,0.7362637362637363,1.0,0.8481012658227848,67.0
cover-image,0.875,0.875,0.875,8.0
feedback,1.0,0.625,0.7692307692307693,8.0
imprint,1.0,1.0,1.0,18.0
introduction,0.6666666666666666,0.11764705882352941,0.2,17.0
reader-information,1.0,0.5,0.6666666666666666,2.0
reading-sample,0.2857142857142857,0.4,0.3333333333333333,5.0
title-page,0.9615384615384616,1.0,0.9803921568627451,25.0
toc,1.0,0.8823529411764706,0.9375,17.0
unknown,0.0,0.0,0.0,0.0
accuracy,0.805,0.805,0.805,0.805
macro avg,0.775649320486277,0.6635416666666667,0.6887308038718128,200.0
weighted avg,0.8208675744545311,0.805,0.7838469471549796,200.0
