,precision,recall,f1-score,support
advertisement,0.8888888888888888,0.75,0.8135593220338984,32.0
author_information,1.0,1.0,1.0,1.0
chapter,0.88,0.9850746268656716,0.9295774647887324,67.0
cover-image,0.8888888888888888,1.0,0.9411764705882353,8.0
feedback,1.0,0.875,0.9333333333333333,8.0
imprint,1.0,1.0,1.0,18.0
introduction,0.65,0.7647058823529411,0.7027027027027027,17.0
reader-information,1.0,0.5,0.6666666666666666,2.0
reading-sample,0.0,0.0,0.0,5.0
title-page,0.96,0.96,0.96,25.0
toc,1.0,1.0,1.0,17.0
accuracy,0.895,0.895,0.895,0.895
macro avg,0.8425252525252525,0.8031618644744193,0.8133650872830516,200.0
weighted avg,0.8778277777777777,0.895,0.8829547307829082,200.0
