Label,precision,recall,f1-score,support
advertisement,0.8148148148148148,0.6875,0.7457627118644068,32.0
author_information,1.0,1.0,1.0,1.0
chapter,0.75,0.9850746268656716,0.8516129032258064,67.0
cover-image,0.8,1.0,0.8888888888888888,8.0
feedback,1.0,0.625,0.7692307692307693,8.0
imprint,1.0,1.0,1.0,18.0
introduction,0.4444444444444444,0.23529411764705882,0.3076923076923077,17.0
reader-information,0.0,0.0,0.0,2.0
reading-sample,0.0,0.0,0.0,5.0
title-page,0.9583333333333334,0.92,0.9387755102040817,25.0
toc,1.0,1.0,1.0,17.0
accuracy,0.82,0.82,0.82,0.82
macro avg,0.7061447811447811,0.67753352222843,0.6819966446460236,200.0
weighted avg,0.7911898148148149,0.82,0.794437927733093,200.0
