Label,precision,recall,f1-score,support
advertisement,0.9565217391304348,0.6875,0.8,32.0
chapter,0.9154929577464789,0.9701492537313433,0.9420289855072463,67.0
cover-image,0.5333333333333333,1.0,0.6956521739130435,8.0
feedback,1.0,1.0,1.0,8.0
imprint,1.0,1.0,1.0,18.0
introduction,0.9090909090909091,0.5882352941176471,0.7142857142857143,17.0
reading-sample,0.25,0.6,0.35294117647058826,5.0
title-page,0.8181818181818182,0.72,0.7659574468085106,25.0
toc,1.0,1.0,1.0,17.0
accuracy,0.8578680203045685,0.8578680203045685,0.8578680203045685,0.8578680203045685
macro avg,0.820291195275886,0.8406538386498877,0.8078739441094559,197.0
weighted avg,0.8952917837408405,0.8578680203045685,0.8646581655619935,197.0
