Label,precision,recall,f1-score,support
advertisement,0.782608695652174,0.5625,0.6545454545454545,32.0
chapter,0.7444444444444445,1.0,0.8535031847133758,67.0
cover-image,0.875,0.875,0.875,8.0
feedback,1.0,0.625,0.7692307692307693,8.0
imprint,1.0,1.0,1.0,18.0
introduction,0.6666666666666666,0.11764705882352941,0.2,17.0
reading-sample,0.2857142857142857,0.4,0.3333333333333333,5.0
title-page,0.9615384615384616,1.0,0.9803921568627451,25.0
toc,1.0,0.8823529411764706,0.9375,17.0
unknown,0.0,0.0,0.0,0.0
accuracy,0.8071065989847716,0.8071065989847716,0.8071065989847716,0.8071065989847716
macro avg,0.7315972554016031,0.64625,0.6603504898685678,197.0
weighted avg,0.8209219408071758,0.8071065989847716,0.7857765718950871,197.0
