Label,precision,recall,f1-score,support
advertisement,0.9565217391304348,0.6875,0.8,32.0
author_information,1.0,1.0,1.0,1.0
chapter,0.0,0.0,0.0,0.0
cover-image,0.5333333333333333,1.0,0.6956521739130435,8.0
feedback,1.0,1.0,1.0,8.0
imprint,1.0,1.0,1.0,18.0
introduction,0.9090909090909091,0.5882352941176471,0.7142857142857143,17.0
reader-information,1.0,0.5,0.6666666666666666,2.0
reading-sample,0.25,0.6,0.35294117647058826,5.0
title-page,0.9,0.72,0.8,25.0
toc,1.0,1.0,1.0,17.0
accuracy,0.7969924812030075,0.7969924812030075,0.7969924812030075,0.7969924812030075
macro avg,0.7771769074140615,0.7359759358288769,0.7299587028487284,133.0
weighted avg,0.902856449423955,0.7969924812030075,0.8301211560138929,133.0
