Label,precision,recall,f1-score,support
advertisement,0.8888888888888888,0.75,0.8135593220338984,32.0
author_information,1.0,1.0,1.0,1.0
chapter,0.0,0.0,0.0,0.0
cover-image,0.8888888888888888,1.0,0.9411764705882353,8.0
feedback,1.0,0.875,0.9333333333333333,8.0
imprint,1.0,1.0,1.0,18.0
introduction,0.6842105263157895,0.7647058823529411,0.7222222222222222,17.0
reader-information,1.0,0.5,0.6666666666666666,2.0
reading-sample,0.0,0.0,0.0,5.0
title-page,0.96,0.96,0.96,25.0
toc,1.0,1.0,1.0,17.0
accuracy,0.849624060150376,0.849624060150376,0.849624060150376,0.849624060150376
macro avg,0.7656353003721424,0.7136096256684492,0.7306325468040323,133.0
weighted avg,0.8811062744580751,0.849624060150376,0.8619630665230708,133.0
