Label,precision,recall,f1-score,support
advertisement,0.0,0.0,0.0,0.0
author-information,1.0,1.0,1.0,1.0
chapter,0.967741935483871,0.8955223880597015,0.9302325581395349,67.0
cover-image,0.8888888888888888,1.0,0.9411764705882353,8.0
feedback,1.0,0.75,0.8571428571428571,8.0
imprint,1.0,1.0,1.0,18.0
reader-information,0.9038461538461539,0.8392857142857143,0.8703703703703703,56.0
title-page,0.7666666666666667,0.92,0.8363636363636363,25.0
toc,1.0,1.0,1.0,17.0
unknown,0.0,0.0,0.0,0.0
accuracy,0.9,0.9,0.9,0.9
macro avg,0.752714364488558,0.7404808102345416,0.7435285892604634,200.0
weighted avg,0.9286593603529087,0.9,0.9118098383351461,200.0
