Label,precision,recall,f1-score,support
author-information,1.0,1.0,1.0,1.0
chapter,0.8055555555555556,0.8656716417910447,0.8345323741007195,67.0
cover-image,0.6363636363636364,0.875,0.7368421052631579,8.0
feedback,1.0,0.5,0.6666666666666666,8.0
imprint,0.9473684210526315,1.0,0.972972972972973,18.0
reader-information,0.875,0.5,0.6363636363636364,56.0
title-page,0.5,0.88,0.6376811594202898,25.0
toc,1.0,0.9411764705882353,0.9696969696969697,17.0
unknown,0.0,0.0,0.0,0.0
accuracy,0.77,0.77,0.77,0.77
macro avg,0.7515875125524248,0.729094234708809,0.7171950982760459,200.0
weighted avg,0.8180788144603934,0.77,0.7685924693020985,200.0
