Label,precision,recall,f1-score,support
author-information,1.0,1.0,1.0,1.0
chapter,0.953125,0.9104477611940298,0.9312977099236641,67.0
cover-image,0.8888888888888888,1.0,0.9411764705882353,8.0
feedback,1.0,0.5,0.6666666666666666,8.0
imprint,1.0,1.0,1.0,18.0
reader-information,0.9183673469387755,0.8035714285714286,0.8571428571428571,56.0
title-page,0.631578947368421,0.96,0.7619047619047619,25.0
toc,1.0,1.0,1.0,17.0
accuracy,0.89,0.89,0.89,0.89
macro avg,0.9239950228995106,0.8967523987206824,0.8947735582782732,200.0
weighted avg,0.9109426561194653,0.89,0.8915365535527188,200.0
