Label,precision,recall,f1-score,support
advertisement,0.0,0.0,0.0,0.0
author-information,1.0,1.0,1.0,1.0
chapter,0.0,0.0,0.0,0.0
cover-image,0.27586206896551724,1.0,0.43243243243243246,8.0
feedback,1.0,0.875,0.9333333333333333,8.0
imprint,1.0,1.0,1.0,18.0
reader-information,0.9772727272727273,0.7678571428571429,0.86,56.0
title-page,0.5714285714285714,0.16,0.25,25.0
toc,1.0,1.0,1.0,17.0
unknown,0.0,0.0,0.0,0.0
accuracy,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579
macro avg,0.5824563367666815,0.5802857142857143,0.5475765765765765,133.0
weighted avg,0.8663149140203846,0.7368421052631579,0.7619257603468129,133.0
