Label,precision,recall,f1-score,support
advertisement,0.0,0.0,0.0,0.0
author-information,1.0,1.0,1.0,1.0
chapter,0.0,0.0,0.0,0.0
cover-image,0.8888888888888888,1.0,0.9411764705882353,8.0
feedback,1.0,0.75,0.8571428571428571,8.0
imprint,1.0,1.0,1.0,18.0
reader-information,0.9591836734693877,0.8392857142857143,0.8952380952380953,56.0
title-page,0.8846153846153846,0.92,0.9019607843137255,25.0
toc,1.0,1.0,1.0,17.0
unknown,0.0,0.0,0.0,0.0
accuracy,0.9022556390977443,0.9022556390977443,0.9022556390977443,0.9022556390977443
macro avg,0.6732687946973661,0.6509285714285714,0.6595518207282913,133.0
weighted avg,0.9544419657201612,0.9022556390977443,0.9253301320528212,133.0
