Label,precision,recall,f1-score,support
author-information,0.5,1.0,0.6666666666666666,1.0
chapter,0.9571428571428572,1.0,0.9781021897810219,67.0
cover-image,1.0,1.0,1.0,8.0
feedback,1.0,1.0,1.0,8.0
imprint,1.0,1.0,1.0,18.0
reader-information,1.0,0.9272727272727272,0.9622641509433962,55.0
title-page,1.0,1.0,1.0,26.0
toc,1.0,1.0,1.0,17.0
accuracy,0.98,0.98,0.98,0.98
macro avg,0.9321428571428572,0.990909090909091,0.9508791259238856,200.0
weighted avg,0.9831428571428572,0.98,0.9806202084194098,200.0
