Label,precision,recall,f1-score,support
author-information,1.0,1.0,1.0,1.0
chapter,0.9682539682539683,0.9104477611940298,0.9384615384615385,67.0
cover-image,0.8888888888888888,1.0,0.9411764705882353,8.0
feedback,1.0,0.875,0.9333333333333333,8.0
imprint,1.0,1.0,1.0,18.0
reader-information,1.0,0.6,0.75,55.0
title-page,0.0,0.0,0.0,26.0
toc,1.0,1.0,1.0,17.0
unknown,0.0,0.0,0.0,0.0
accuracy,0.725,0.725,0.725,0.725
macro avg,0.761904761904762,0.7094941956882255,0.7292190380425674,200.0
weighted avg,0.854920634920635,0.725,0.7756150075414782,200.0
