Label,precision,recall,f1-score,support
author-information,0.5,1.0,0.6666666666666666,1.0
chapter,0.9014084507042254,0.9552238805970149,0.927536231884058,67.0
cover-image,0.8888888888888888,1.0,0.9411764705882353,8.0
feedback,1.0,1.0,1.0,8.0
imprint,1.0,1.0,1.0,18.0
reader-information,0.94,0.8545454545454545,0.8952380952380953,55.0
title-page,1.0,0.9615384615384616,0.9803921568627451,26.0
toc,1.0,1.0,1.0,17.0
accuracy,0.94,0.94,0.94,0.94
macro avg,0.9037871674491393,0.9714134745851164,0.9263762026549751,200.0
weighted avg,0.9435273865414711,0.94,0.9403464864206552,200.0
