Label,precision,recall,f1-score,support
author-information,1.0,1.0,1.0,1.0
chapter,0.0,0.0,0.0,0.0
cover-image,0.27586206896551724,1.0,0.43243243243243246,8.0
feedback,1.0,1.0,1.0,8.0
imprint,1.0,1.0,1.0,18.0
reader-information,1.0,0.8545454545454545,0.9215686274509803,55.0
title-page,0.6666666666666666,0.15384615384615385,0.25,26.0
toc,1.0,1.0,1.0,17.0
unknown,0.0,0.0,0.0,0.0
accuracy,0.7744360902255639,0.7744360902255639,0.7744360902255639,0.7744360902255639
macro avg,0.6602809706257982,0.6675990675990676,0.6226667844314903,133.0
weighted avg,0.8912799239478005,0.7744360902255639,0.7868100298440855,133.0
