Label,precision,recall,f1-score,support
author-information,0.5,1.0,0.6666666666666666,1.0
chapter,0.0,0.0,0.0,0.0
cover-image,1.0,1.0,1.0,8.0
feedback,1.0,1.0,1.0,8.0
imprint,1.0,1.0,1.0,18.0
reader-information,1.0,0.9272727272727272,0.9622641509433962,55.0
title-page,1.0,1.0,1.0,26.0
toc,1.0,1.0,1.0,17.0
accuracy,0.9699248120300752,0.9699248120300752,0.9699248120300752,0.9699248120300752
macro avg,0.8125,0.865909090909091,0.8286163522012578,133.0
weighted avg,0.9962406015037594,0.9699248120300752,0.9818886839740861,133.0
