id	gold_label	gold_label_subtype
000005_Alexi_Fuersten-Roman-2581_9783732583782.json_0_0	cover image 	none
000005_Alexi_Fuersten-Roman-2581_9783732583782.json_0_1	toc	none
000005_Alexi_Fuersten-Roman-2581_9783732583782.json_0_2	imprint	none
000005_Alexi_Fuersten-Roman-2581_9783732583782.json_0_4	reader-information	preview
000005_Alexi_Fuersten-Roman-2581_9783732583782.json_0_6	reader-information	advertisement
000235_Hardy_Julia-Extra-Band-382_9783733704049.json_5_11	chapter	none
000235_Hardy_Julia-Extra-Band-382_9783733704049.json_7_0	unknown	none
000246_Hellberg_Alpengold-345_9783751710466.json_0_0	cover-image	none
000246_Hellberg_Alpengold-345_9783751710466.json_0_4	feedback	none
000294_JULIA_EXTRA_BAND_402_-_Michelle_Conder,_Connie_Cox,_Teresa_Southw.json_6_0	title-page	none
000294_JULIA_EXTRA_BAND_402_-_Michelle_Conder,_Connie_Cox,_Teresa_Southw.json_7_0	title-page	none
000294_JULIA_EXTRA_BAND_402_-_Michelle_Conder,_Connie_Cox,_Teresa_Southw.json_8_11	chapter	none
000304_JULIA_EXTRA_BAND_408_-_Cathy_Williams,_Kate_Hewitt,_Carole_Mortim.json_5_0	title-page	none
000304_JULIA_EXTRA_BAND_408_-_Cathy_Williams,_Kate_Hewitt,_Carole_Mortim.json_7_0	title-page	none
000304_JULIA_EXTRA_BAND_408_-_Cathy_Williams,_Kate_Hewitt,_Carole_Mortim.json_7_11	chapter	none
000304_JULIA_EXTRA_BAND_408_-_Cathy_Williams,_Kate_Hewitt,_Carole_Mortim.json_8_0	title-page	none
000311_JULIA_EXTRA_BAND_412_-_Michelle_Smart,_Lynne_Graham,_J.json_5_0	title-page	none
000311_JULIA_EXTRA_BAND_412_-_Michelle_Smart,_Lynne_Graham,_J.json_6_0	title-page	none
000311_JULIA_EXTRA_BAND_412_-_Michelle_Smart,_Lynne_Graham,_J.json_8_0	title-page	none
000318_JULIA_EXTRA_BAND_417_-_Lynne_Graham,_Carol_Marinelli,_Chantalle_S.json_7_0	title-page	none
000349_Jerry_Cotton_-_Folge_3083__Verwischte_Spur_-_Jerry_Cotton.json_0_1	toc	none
000349_Jerry_Cotton_-_Folge_3083__Verwischte_Spur_-_Jerry_Cotton.json_0_6	feedback	none
000349_Jerry_Cotton_-_Folge_3083__Verwischte_Spur_-_Jerry_Cotton.json_0_7	reader-information	advertisement	
000349_Jerry_Cotton_-_Folge_3083__Verwischte_Spur_-_Jerry_Cotton.json_0_9	reader-information	advertisement	
000352_Jerry_Cotton_-_Folge_3087__Der_-_Cotton,_Jerry.json_0_0	cover-image	none
000352_Jerry_Cotton_-_Folge_3087__Der_-_Cotton,_Jerry.json_0_1	toc	none
000352_Jerry_Cotton_-_Folge_3087__Der_-_Cotton,_Jerry.json_0_3	chapter	none
000352_Jerry_Cotton_-_Folge_3087__Der_-_Cotton,_Jerry.json_0_5	reader-information	preview
000375_Jerry_Cotton_Sammelband_5_-_Krimi-Serie_-_Jerry_Cotton.json_6_0	toc	none
000375_Jerry_Cotton_Sammelband_5_-_Krimi-Serie_-_Jerry_Cotton.json_6_3	reader-information	preview
000375_Jerry_Cotton_Sammelband_5_-_Krimi-Serie_-_Jerry_Cotton.json_6_4	feedback	none
000375_Jerry_Cotton_Sammelband_5_-_Krimi-Serie_-_Jerry_Cotton.json_7_1	chapter	none
000375_Jerry_Cotton_Sammelband_5_-_Krimi-Serie_-_Jerry_Cotton.json_7_3	reader-information	preview
000375_Jerry_Cotton_Sammelband_5_-_Krimi-Serie_-_Jerry_Cotton.json_7_4	feedback	none
000375_Jerry_Cotton_Sammelband_5_-_Krimi-Serie_-_Jerry_Cotton.json_8_0	toc	none
000375_Jerry_Cotton_Sammelband_5_-_Krimi-Serie_-_Jerry_Cotton.json_8_3	reader-information	preview
000375_Jerry_Cotton_Sammelband_5_-_Krimi-Serie_-_Jerry_Cotton.json_8_4	feedback	none
000375_Jerry_Cotton_Sammelband_5_-_Krimi-Serie_-_Jerry_Cotton.json_9_1	chapter	none
000376_Jerry_Cotton_Sammelband_5_-_Krimi-Serie.json_6_0	toc	none
000376_Jerry_Cotton_Sammelband_5_-_Krimi-Serie.json_6_3	reader-information	preview
000376_Jerry_Cotton_Sammelband_5_-_Krimi-Serie.json_7_0	toc	none
000376_Jerry_Cotton_Sammelband_5_-_Krimi-Serie.json_7_1	chapter	none
000376_Jerry_Cotton_Sammelband_5_-_Krimi-Serie.json_7_4	feedback	none
000376_Jerry_Cotton_Sammelband_5_-_Krimi-Serie.json_8_3	reader-information	preview
000376_Jerry_Cotton_Sammelband_5_-_Krimi-Serie.json_8_4	feedback	none
000376_Jerry_Cotton_Sammelband_5_-_Krimi-Serie.json_9_3	reader-information	preview
000376_Jerry_Cotton_Sammelband_5_-_Krimi-Serie.json_10_4	feedback	none
000390_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry13.json_0_1	toc	none
000390_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry13.json_0_2	imprint	none
000390_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry13.json_0_19	reader-information	advertisement
000390_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry13.json_0_20	feedback	none
000430_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry5.json_0_0	cover-image	none
000430_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry5.json_0_2	imprint	none
000430_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry5.json_0_16	reader-information	advertisement
000430_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry5.json_0_18	reader-information	advertisement	
000622_Kufsteiner_Der-Bergdoktor-1927_9783732565665.json_0_1	toc	none
000622_Kufsteiner_Der-Bergdoktor-1927_9783732565665.json_0_2	imprint	none
000622_Kufsteiner_Der-Bergdoktor-1927_9783732565665.json_0_3	reader-information	framing
000622_Kufsteiner_Der-Bergdoktor-1927_9783732565665.json_0_5	reader-information	preview
000622_Kufsteiner_Der-Bergdoktor-1927_9783732565665.json_0_6	feedback	none
000622_Kufsteiner_Der-Bergdoktor-1927_9783732565665.json_0_7	reader-information	advertisement
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_2_1	title-page	none
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_2_3	reader-information	castlist
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_3_1	reader-information	meta-information
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_4_0	cover-image	none
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_4_1	reader-information	meta-information
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_4_2	reader-information	castlist
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_5_0	cover-image	none
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_5_2	reader-information	castlist
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_6_0	cover-image	none
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_6_1	reader-information	framing
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_6_2	reader-information	castlist
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_7_0	cover-image	none
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_7_1	reader-information	meta-information
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_8_0	cover-image	none
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_8_2	reader-information	castlist
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_10_1	reader-information	framing
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_11_0	cover-image	none
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_11_2	reader-information	castlist
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_12_0	cover-image	none
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_13_0	cover-image	none
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_13_1	reader-information	framing
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_13_2	reader-information	castlist
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_14_0	cover-image	none
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_14_2	reader-information	castlist
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_15_1	reader-information	framing
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_15_2	reader-information	castlist
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_16_0	cover-image	none
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_16_2	reader-information	castlist
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_17_0	cover-image	none
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_17_1	reader-information	framing
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_17_2	reader-information	castlist
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_19_0	cover-image	none
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_20_2	reader-information	castlist
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_21_0	cover-image	none
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_21_1	reader-information	meta-information
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_22_1	reader-information	meta-information
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_22_2	reader-information	castlist
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_23_0	cover-image	none
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_23_2	reader-information	castlist
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_24_1	reader-information	meta-information
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_25_0	cover-image	none
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_25_2	reader-information	castlist
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_26_1	reader-information	meta-information
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_26_2	reader-information	castlist
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_27_0	cover-image	none
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_28_0	cover-image	none
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_28_1	reader-information	meta-information
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_29_0	cover-image	none
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_29_1	reader-information	meta-information
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_29_2	reader-information	castlist
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_30_0	cover-image	none
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_31_2	reader-information	castlist
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_32_0	cover-image	none
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_32_1	reader-information	meta-information
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_32_2	reader-information	castlist
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_33_0	cover-image	none
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_34_1	reader-information	meta-information
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_34_2	reader-information	castlist
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_35_0	cover-image	none
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_35_2	reader-information	castlist
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_36_0	cover-image	none
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_36_1	reader-information	meta-information
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_37_0	cover-image	none
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_39_0	cover-image	none
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_39_1	reader-information	meta-information
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_40_0	cover-image	none
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_40_2	reader-information	castlist
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_41_0	cover-image	none
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_41_1	reader-information	meta-information
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_42_0	cover-image	none
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_42_1	reader-information	meta-information
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_42_2	reader-information	castlist
000730_Perry_Rhodan-Paket_2__Atlan_und_-_Perry_Rhodan_Redaktion.json_43_1	reader-information	meta-information
