id	gold_label	gold_label_subtype
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau.json_5_0	title-page	none
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau.json_5_3	chapter	none
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau.json_5_15	chapter	none
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau.json_6_0		
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau.json_6_8	chapter	none
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau.json_7_0		
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau.json_7_10	chapter	none
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau.json_7_13	chapter	none
000052_Carson_Dorian-Hunter-36---Horror-Seri_9783732591916.json_0_1	toc	none
000052_Carson_Dorian-Hunter-36---Horror-Seri_9783732591916.json_0_2	imprint	none
000052_Carson_Dorian-Hunter-36---Horror-Seri_9783732591916.json_0_3	reader-information	meta-information
000052_Carson_Dorian-Hunter-36---Horror-Seri_9783732591916.json_0_4	reader-information	advertisement	
000052_Carson_Dorian-Hunter-36---Horror-Seri_9783732591916.json_0_11	reader-information	advertisement	
000052_Carson_Dorian-Hunter-36---Horror-Seri_9783732591916.json_0_12	reader-information	advertisement
000052_Carson_Dorian-Hunter-36---Horror-Seri_9783732591916.json_0_14	reader-information	advertisement
000102_Davenport_Dorian-Hunter-32---Horror-Seri_9783732590193.json_0_1	toc	none
000102_Davenport_Dorian-Hunter-32---Horror-Seri_9783732590193.json_0_2	imprint	none
000102_Davenport_Dorian-Hunter-32---Horror-Seri_9783732590193.json_0_3	reader-information	meta-information
000102_Davenport_Dorian-Hunter-32---Horror-Seri_9783732590193.json_0_4	reader-information	advertisement
000102_Davenport_Dorian-Hunter-32---Horror-Seri_9783732590193.json_0_11	reader-information	advertisement
