ID	File	Old Type	True Type	Status
000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json_0_0_part0000.xhtml	000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json	unkown	introduction	OK
000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json_0_1_part0001.xhtml	000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json	toc	toc	OK
000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json_0_2_part0002.xhtml	000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json	imprint	copyright-statement	OK
000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json_0_3_part0003.xhtml	000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json	unkown	foreword	OK
000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json_0_4_part0004.xhtml	000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json	chapter	chapter	OK
000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json_0_5_part0005.xhtml	000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json	chapter	chapter	OK
000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json_0_6_part0006.xhtml	000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json	chapter	chapter	OK
000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json_0_7_part0007.xhtml	000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json	chapter	chapter	OK
000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json_0_8_part0008.xhtml	000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json	chapter	chapter	OK
000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json_0_9_part0009.xhtml	000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json	chapter	chapter	OK
000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json_0_10_part0010.xhtml	000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json	preview	preview	OK
000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json_0_11_part0011.xhtml	000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json	unkown	feedback	OK
000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json_0_12_part0012.xhtml	000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json	reading-sample	advertisement	OK
000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json_0_13_part0013.xhtml	000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json	unkown	advertisement	OK
000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json_0_14_part0014.xhtml	000426_Jerry_Cotton_Sonder-Edition_-_F_-_Cotton,_Jerry46.json	unkown	advertisement	OK
000528_Kufsteiner_Das-Berghotel-104_9783732522392.json_0_0_cover.xhtml	000528_Kufsteiner_Das-Berghotel-104_9783732522392.json	cover	unknown	OK
000528_Kufsteiner_Das-Berghotel-104_9783732522392.json_0_1_toc.xhtml	000528_Kufsteiner_Das-Berghotel-104_9783732522392.json	toc	toc	OK
000528_Kufsteiner_Das-Berghotel-104_9783732522392.json_0_2_copyright-page.xhtml	000528_Kufsteiner_Das-Berghotel-104_9783732522392.json	imprint	copyright-statement	OK
000528_Kufsteiner_Das-Berghotel-104_9783732522392.json_0_3_preface.xhtml	000528_Kufsteiner_Das-Berghotel-104_9783732522392.json	prelude	foreword	OK
000528_Kufsteiner_Das-Berghotel-104_9783732522392.json_0_4_volume.xhtml	000528_Kufsteiner_Das-Berghotel-104_9783732522392.json	novel	chapter	OK
000528_Kufsteiner_Das-Berghotel-104_9783732522392.json_0_5_preview.xhtml	000528_Kufsteiner_Das-Berghotel-104_9783732522392.json	preview	preview	OK
000528_Kufsteiner_Das-Berghotel-104_9783732522392.json_0_6_feedback.xhtml	000528_Kufsteiner_Das-Berghotel-104_9783732522392.json	feedback	feedback	OK
000528_Kufsteiner_Das-Berghotel-104_9783732522392.json_0_7_readbox_add_20210820213349_7_3305.html	000528_Kufsteiner_Das-Berghotel-104_9783732522392.json	reading-sample	advertisement	OK
