filename	primary_strategy	total_chunks
000449_John_Sinclair_-_Folge_0008_-_Jason_Dark.json	entire_book_structure	30
000796_Seeberg_Fuersten-Roman-2631_9783751711548.json	entire_book_structure	41
000837_Stern_Maddrax-347_9783838733357.json	entire_book_structure	45
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	entire_book_structure	25
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau.json	entire_book_structure	46
000871_Vlcek_Das-Haus-Zamis-3_9783751705271.json	entire_book_structure	14
000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987.json	entire_book_structure	14
G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition).json	entire_book_structure	22
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry.json	entire_book_structure	52
000151_Fernthaler_Alpengold-265_9783732560165.json	entire_book_structure	29
