timestamp,chunk_id,status,strategy,wrapped_div,uncertain_found,unknown_type_found,error_message
2026-01-27T12:58:00.444484,000796_Seeberg_Fuersten-Roman-2631_9783751711548_01,Success,non-chapter,LLM-Wrapped,YES,no,
2026-01-27T12:58:03.153424,000796_Seeberg_Fuersten-Roman-2631_9783751711548_02,Success,non-chapter,LLM-Wrapped,no,no,
2026-01-27T14:16:06.157190,000796_Seeberg_Fuersten-Roman-2631_9783751711548_04,Success,non-chapter,LLM-Wrapped,no,no,
2026-01-27T14:16:07.629264,000796_Seeberg_Fuersten-Roman-2631_9783751711548_05,Success,non-chapter,LLM-Wrapped,no,no,
2026-01-27T14:16:11.063199,000796_Seeberg_Fuersten-Roman-2631_9783751711548_06,Success,non-chapter,LLM-Wrapped,no,no,
2026-01-27T14:16:42.016623,000796_Seeberg_Fuersten-Roman-2631_9783751711548_07,Success,non-chapter,LLM-Wrapped,no,no,
2026-01-27T14:21:34.380610,000837_Stern_Maddrax-347_9783838733357_03,Success,non-chapter,LLM-Wrapped,no,no,
2026-01-27T14:21:42.930016,000837_Stern_Maddrax-347_9783838733357_04,Success,non-chapter,LLM-Wrapped,no,no,
2026-01-27T14:21:46.177270,000837_Stern_Maddrax-347_9783838733357_05,Success,non-chapter,LLM-Wrapped,no,no,
2026-01-27T15:07:38.638170,000837_Stern_Maddrax-347_9783838733357_03,Success,non-chapter,LLM-Wrapped,no,no,
2026-01-27T15:07:46.461363,000837_Stern_Maddrax-347_9783838733357_04,Success,non-chapter,LLM-Wrapped,no,no,
2026-01-27T15:07:49.983667,000837_Stern_Maddrax-347_9783838733357_05,Success,non-chapter,LLM-Wrapped,no,no,
2026-01-27T15:33:43.300357,G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_01,Error,non-chapter,None,no,no,"Error response 404 while fetching https://openrouter.ai/api/v1/chat/completions: {""error"":{""message"":""The free Devstral 2 2512 period has ended. To continue using this model, please migrate to the paid slug: mistralai/devstral-2512"",""code"":404},""user_id"":""user_2zK4oiRZXJA8BryuPDvbkCoeD9h""}"
2026-01-27T15:33:58.669930,G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_02,Error,non-chapter,None,no,no,"Error response 404 while fetching https://openrouter.ai/api/v1/chat/completions: {""error"":{""message"":""The free Devstral 2 2512 period has ended. To continue using this model, please migrate to the paid slug: mistralai/devstral-2512"",""code"":404},""user_id"":""user_2zK4oiRZXJA8BryuPDvbkCoeD9h""}"
2026-01-27T15:34:13.902085,G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_03,Error,non-chapter,None,no,no,"Error response 404 while fetching https://openrouter.ai/api/v1/chat/completions: {""error"":{""message"":""The free Devstral 2 2512 period has ended. To continue using this model, please migrate to the paid slug: mistralai/devstral-2512"",""code"":404},""user_id"":""user_2zK4oiRZXJA8BryuPDvbkCoeD9h""}"
2026-01-27T15:34:29.158371,G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_04,Error,non-chapter,None,no,no,"Error response 404 while fetching https://openrouter.ai/api/v1/chat/completions: {""error"":{""message"":""The free Devstral 2 2512 period has ended. To continue using this model, please migrate to the paid slug: mistralai/devstral-2512"",""code"":404},""user_id"":""user_2zK4oiRZXJA8BryuPDvbkCoeD9h""}"
2026-01-27T15:56:58.327654,G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_01,Error,non-chapter,None,no,no,"Error response 429 while fetching https://openrouter.ai/api/v1/chat/completions: {""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""qwen/qwen3-next-80b-a3b-instruct:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations"",""provider_name"":""Venice"",""is_byok"":false}},""user_id"":""user_2zK4oiRZXJA8BryuPDvbkCoeD9h""}"
