filename	id	type	inferred_type	words_plain	tokens_plain	tokens_markup	tokens_overhead	ratio_markup	tags_approx	chunks_needed_4096	chunks_needed_8192	chunks_needed_32768	chunks_needed_128000
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	toc	meta	toc	10	14	119	105	8.5	14	1	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	imprint	meta	imprint	51	145	902	757	6.2207	31	1	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	prelude	meta	prelude	246	367	1053	686	2.8692	30	1	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_1	narrative	novel	365	583	1440	857	2.47	24	1	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_2	narrative	novel	1757	2877	8437	5560	2.9326	166	3	2	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_3	narrative	novel	1715	2653	7239	4586	2.7286	146	2	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_4	narrative	novel	1279	1977	5582	3605	2.8235	106	2	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_5	narrative	novel	1858	2881	8507	5626	2.9528	166	3	2	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_6	narrative	novel	1938	3040	9582	6542	3.152	196	3	2	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_7	narrative	novel	1260	1978	4782	2804	2.4176	88	2	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_8	narrative	novel	1100	1770	5459	3689	3.0842	114	2	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_9	narrative	novel	1063	1714	5415	3701	3.1593	112	2	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_10	narrative	novel	1508	2399	7600	5201	3.168	158	2	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_11	narrative	novel	2732	4284	12547	8263	2.9288	248	4	2	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_12	narrative	novel	858	1383	3928	2545	2.8402	74	1	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_13	narrative	novel	1456	2296	6080	3784	2.6481	112	2	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_14	narrative	novel	895	1408	4756	3348	3.3778	98	2	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_15	narrative	novel	1194	1826	5927	4101	3.2459	148	2	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_16	narrative	novel	904	1416	4074	2658	2.8771	80	1	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_17	narrative	novel	1528	2316	6636	4320	2.8653	128	2	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_18	narrative	novel	611	932	2761	1829	2.9624	56	1	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_19	narrative	novel	1113	1675	4681	3006	2.7946	98	2	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	preview	meta	preview	265	392	990	598	2.5255	20	1	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	feedback	meta	feedback	40	71	501	430	7.0563	23	1	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	reading-sample	meta	reading-sample	629	1065	2321	1256	2.1793	124	1	1	1	1
