filename	id	type	inferred_type	words_plain	tokens_plain	tokens_markup	tokens_overhead	ratio_markup	tags_approx	chunks_needed_4096	chunks_needed_8192	chunks_needed_32768	chunks_needed_128000
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	toc	meta	toc	10	13	115	102	8.8462	14	1	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	imprint	meta	imprint	51	136	839	703	6.1691	31	1	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	prelude	meta	prelude	246	365	950	585	2.6027	30	1	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_1	narrative	novel	365	580	1292	712	2.2276	24	1	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_2	narrative	novel	1757	2828	7450	4622	2.6344	166	2	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_3	narrative	novel	1715	2612	6460	3848	2.4732	146	2	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_4	narrative	novel	1279	1924	4928	3004	2.5613	106	2	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_5	narrative	novel	1858	2836	7522	4686	2.6523	166	2	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_6	narrative	novel	1938	3019	8486	5467	2.8109	196	3	2	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_7	narrative	novel	1260	1971	4328	2357	2.1958	88	2	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_8	narrative	novel	1100	1759	4839	3080	2.751	114	2	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_9	narrative	novel	1063	1693	4787	3094	2.8275	112	2	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_10	narrative	novel	1508	2365	6730	4365	2.8457	158	2	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_11	narrative	novel	2732	4242	11117	6875	2.6207	248	3	2	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_12	narrative	novel	858	1345	3456	2111	2.5695	74	1	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_13	narrative	novel	1456	2262	5417	3155	2.3948	112	2	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_14	narrative	novel	895	1388	4172	2784	3.0058	98	2	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_15	narrative	novel	1194	1805	5294	3489	2.933	148	2	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_16	narrative	novel	904	1377	3621	2244	2.6296	80	1	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_17	narrative	novel	1528	2310	5900	3590	2.5541	128	2	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_18	narrative	novel	611	922	2465	1543	2.6735	56	1	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	novel_split_19	narrative	novel	1113	1653	4171	2518	2.5233	98	2	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	preview	meta	preview	265	376	898	522	2.3883	20	1	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	feedback	meta	feedback	40	61	453	392	7.4262	23	1	1	1	1
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json	reading-sample	meta	reading-sample	629	976	2049	1073	2.0994	124	1	1	1	1
000871_Vlcek_Das-Haus-Zamis-3_9783751705271.json	cover	meta	cover	0	0	85	85	1.0	8	1	1	1	1
000871_Vlcek_Das-Haus-Zamis-3_9783751705271.json	toc	meta	toc	20	52	209	157	4.0192	28	1	1	1	1
000871_Vlcek_Das-Haus-Zamis-3_9783751705271.json	imprint	meta	imprint	39	114	695	581	6.0965	24	1	1	1	1
000871_Vlcek_Das-Haus-Zamis-3_9783751705271.json	unkown	meta	unkown	392	616	1176	560	1.9091	23	1	1	1	1
000871_Vlcek_Das-Haus-Zamis-3_9783751705271.json	unkown	meta	unkown	148	246	736	490	2.9919	19	1	1	1	1
000871_Vlcek_Das-Haus-Zamis-3_9783751705271.json	chapter	narrative	chapter	4677	7629	15119	7490	1.9818	252	4	2	1	1
000871_Vlcek_Das-Haus-Zamis-3_9783751705271.json	chapter	narrative	chapter	6395	10248	19388	9140	1.8919	302	5	3	1	1
000871_Vlcek_Das-Haus-Zamis-3_9783751705271.json	chapter	narrative	chapter	6879	10888	20278	9390	1.8624	314	5	3	1	1
000871_Vlcek_Das-Haus-Zamis-3_9783751705271.json	chapter	narrative	chapter	3940	6176	12239	6063	1.9817	200	3	2	1	1
000871_Vlcek_Das-Haus-Zamis-3_9783751705271.json	chapter	narrative	chapter	2982	4760	9193	4433	1.9313	152	3	2	1	1
000871_Vlcek_Das-Haus-Zamis-3_9783751705271.json	unkown	meta	unkown	2	5	93	88	18.6	8	1	1	1	1
000871_Vlcek_Das-Haus-Zamis-3_9783751705271.json	preview	meta	preview	158	246	928	682	3.7724	25	1	1	1	1
000871_Vlcek_Das-Haus-Zamis-3_9783751705271.json	feedback	meta	feedback	3	4	98	94	24.5	11	1	1	1	1
000871_Vlcek_Das-Haus-Zamis-3_9783751705271.json	reading-sample	meta	reading-sample	316	476	1395	919	2.9307	93	1	1	1	1
000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987.json	cover	meta	cover	0	0	85	85	1.0	8	1	1	1	1
000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987.json	toc	meta	toc	21	53	211	158	3.9811	28	1	1	1	1
000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987.json	imprint	meta	imprint	45	128	760	632	5.9375	26	1	1	1	1
000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987.json	unkown	meta	unkown	417	666	1176	510	1.7658	19	1	1	1	1
000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987.json	unkown	meta	unkown	151	244	745	501	3.0533	19	1	1	1	1
000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987.json	chapter	narrative	chapter	5894	9226	20766	11540	2.2508	432	6	3	1	1
